order_id,book_title,author,genre,quantity,price,order_date
1,The Great Novel,Jane Doe,Fiction,2,250,03-15-2025
2,Mystery Solved,John Smith,Mystery,1,300,03-15-2025
3,Space Odyssey,Alice Brown,Science Fiction,3,350,03-16-2025
4,History of India,Raj Patel,Non-Fiction,1,400,03-16-2025
5,Another Mystery,John Smith,Mystery,2,280,03-17-2025
6,Fantasy World,Eve White,Fiction,1,320,03-17-2025
7,Quantum Physics,Sam Green,Science Fiction,1,450,03-18-2025
8,Biography of Lincoln,Laura Grey,Non-Fiction,2,380,03-18-2025
9,The Lost City,Jane Doe,Fiction,1,290,03-19-2025
10,Code Breakers,Chris Black,Mystery,3,310,03-19-2025
11,Science Today,Sam Green,Science Fiction,2,420,03-20-2025
12,Indian Cooking,Priya Sharma,Non-Fiction,1,350,03-20-2025
13,The Silent Witness,John Smith,Mystery,1,330,03-21-2025
14,Dragons' Realm,Eve White,Fiction,2,300,03-21-2025
15,Understanding the Universe,Alice Brown,Science Fiction,1,480,03-15-2025
16,Gandhi's Life,Raj Patel,Non-Fiction,3,390,03-16-2025
17,Secret of the Mansion,Chris Black,Mystery,1,270,03-17-2025
18,The Enchanted Forest,Jane Doe,Fiction,2,310,03-18-2025
19,Exploring Space,Alice Brown,Science Fiction,2,400,03-19-2025
20,Yoga for Beginners,Priya Sharma,Non-Fiction,1,280,03-20-2025